show_flag,page,title,type,organization,venue,start_date,end_date,notes,url,url_2,,,
TRUE,Speaking,First Python Notebook,Workshop,Investigative Reporters & Editors,NICAR 2022,2022,,"Wrote what was then <a href=""https://palewi.re/docs/first-python-notebook/compute.html"">Chapter 12</a> and taught 1/3 of day-long course.",https://palewi.re/docs/first-python-notebook/index.html,chapter 12,,,
TRUE,Speaking,Investigating LGBTQ+ Issues with Public Records,Panel,Chicago Headline Club,FOIAFest,2022,,,,,,,
TRUE,Speaking,Best practices to get and use data on the LGBTQ community,Panel,Investigative Reporters & Editors,NICAR 2022,2022,,,,,,,
TRUE,Speaking,LGBTQ+ Networking Session,Moderation,Investigative Reporters & Editors,IRE20,2020,,,,,,,
TRUE,Speaking,Investigating Housing,Workshop,The Groundtruth Project,Report for America In-Depth Beat Training,2020,,Developed three-hour training and follow-up tipsheets for journalists starting out on the housing beat.,https://drive.google.com/drive/folders/1rQ4-_cbPCvDJaMmc0ZudFxuU3GnDN1ux,,,,
TRUE,Speaking,Diverse newsrooms can produce better journalism: Let's make it happen,Panel,Investigative Reporters & Editors,NICAR 2020,2020,,,,,,,
FALSE,Speaking,Google Forms for Data Entry,Presentation,St. Louis Public Radio,Internal training,2020,,,,,,,
FALSE,Speaking,"Investigative Journalism, Photojournalism",Panel,St. Louis Public Radio,Mini J School,2019,,"Built the Mini J School curriculum with a panel of other journalists and development staff, then lead and participated in several sessions.",https://current.org/2019/08/in-st-louis-a-mini-j-school-makes-public-radio-listeners-advocates-for-real-news/,,,,
FALSE,Speaking,Excel Tricks You've Never Used - Teaching Assistant,Workshop,"Investigative Reporters & Editors, St. Louis Public Radio","2019 IRE Conference, internal newsroom training",2019,,,,,,,
TRUE,Speaking,Uncovering predatory and abusive housing practices,Panel,Investigative Reporters & Editors,2019 IRE Conference,2019,,,,,,,
FALSE,Speaking,Sources & Gender Dynamics,Presentation,St. Louis Online News Association,Weekly meeting,2019,,,,,,,
TRUE,Speaking,The Swiss Army Reporter: Multimedia tools and how to use them,Presentation,"College Broadcasters, Inc.",National Student Electronic Media Convention 2019,2019,,,,,,,
FALSE,Speaking,Journalistic Ethics Quiz,Presentation,St. Louis Society of Professional Journalists,STLSPJ Student Boot Camp,2019,,,,,,,
TRUE,Speaking,Investigating Housing and Landlord Complaints,Panel,Investigative Reporters & Editors,2018 IRE Conference,2018,,,,,,,
TRUE,Speaking,Illustrating stories with data visuals,Presentation,St. Louis Society of Professional Journalists,STLSPJ Student Boot Camp,2018,,,,,,,
TRUE,Speaking,Freelancing for Fun and for Profit,Presentation,St. Louis Society of Professional Journalists,STLSPJ Student Boot Camp,2017,,,,,,,
TRUE,Writing,Workplace Resources Guide,Guide,Trans Journalists Association,,"2024, 2020",,"Served as primary researcher and author on several guide subsections in 2020, then directed and edited the revision and expansion of the guide in 2024.",https://workplaceguide.transjournalists.org,,,,
TRUE,Writing,How we analyzed disparities in Arizona's federal-only voter rolls,Documentation,Chalkbeat,,2024,,,https://dataviz.chalkbeat.org/2024/12/16/arizona.html,,,,
TRUE,Writing,Covering the Actual Story of Trans Lives,Best Practices,Columbia Journalism Review,,2024,,,https://www.cjr.org/criticism/covering-the-actual-story-of-trans-lives.php,,,,
TRUE,Writing,Resources for understanding the polls on trans issues,Best Practices,Trans Journalists Association,,2024,,,https://www.transjournalists.org/2024-resources-for-understanding-polls/,,,,
TRUE,Writing,Data Dive: Localizing federal Common Core gender data,Documentation,Investigative Reporters & Editors,,2024,,,https://www.ire.org/product/ire-journal-q1-2024/,,,,
FALSE,Writing,7 best practices for covering LGBTQ+ communities through data,Best Practices,International Journalists' Network,,2024,,Republication.,https://ijnet.org/en/story/7-best-practices-covering-lgbtq-communities-through-data,,,,
